motif	ID	Name	Species	Class	Family
MA0004.1_Arnt	MA0004.1	Arnt	Mus musculus	Basic helix-loop-helix factors (bHLH)	PAS domain factors
MA0006.1_Ahr::Arnt	MA0006.1	Ahr::Arnt	Mus musculus	Basic helix-loop-helix factors (bHLH)	PAS domain factors
MA0029.1_Mecom	MA0029.1	Mecom	Mus musculus	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
MA0030.1_FOXF2	MA0030.1	FOXF2	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0031.1_FOXD1	MA0031.1	FOXD1	Homo sapiens	Fork head / winged helix factors	Forkhead box (FOX) factors
MA0051.1_IRF2	MA0051.1	IRF2	Homo sapiens	Tryptophan cluster factors	Interferon-regulatory factors
MA0057.1_MZF1(var.2)	MA0057.1	MZF1(var.2)	Homo sapiens	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors
MA0059.1_MAX::MYC	MA0059.1	MAX::MYC	Homo sapiens	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors
MA0066.1_PPARG	MA0066.1	PPARG	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0067.1_Pax2	MA0067.1	Pax2	Mus musculus	Paired box factors	Paired domain only
MA0069.1_PAX6	MA0069.1	PAX6	Homo sapiens	Paired box factors	Paired plus homeo domain
MA0070.1_PBX1	MA0070.1	PBX1	Homo sapiens	Homeo domain factors	TALE-type homeo domain factors
MA0071.1_RORA	MA0071.1	RORA	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0072.1_RORA(var.2)	MA0072.1	RORA(var.2)	Homo sapiens	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)
MA0073.1_RREB1	MA0073.1	RREB1	Homo sapiens	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
MA0074.1_RXRA::VDR	MA0074.1	RXRA::VDR	Homo sapiens	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
